restaurant_id,name,city,cuisine,rating
REST177,Fuentes PLC,Abigailshire,Thai,2.9
REST178,Smith-Valenzuela,Evansstad,Italian,3.6
REST179,Stark-Jones,East Samantha,Thai,3.7
REST180,Flynn and Sons,Jenkinston,Chinese,3.3
REST181,Page-Thomas,New Douglas,Chinese,5.0
REST182,George-Owens,South Melissaland,Indian,4.6
REST183,Medina-Byrd,Russellton,Mexican,3.0
REST184,Strong-Graves,Nelsonburgh,Mexican,4.9
REST185,Hernandez-Bradley,Cooperbury,Indian,3.4
REST186,Martin Group,South Kevin,Chinese,4.6
REST187,Porter LLC,Jeromebury,Thai,3.5
REST188,"Martinez, Lara and Mcdaniel",North Josephside,Thai,3.0
REST189,Sampson-Green,Burkeberg,Thai,4.9
REST190,Stuart-Wood,East David,Chinese,2.7
REST191,King-Edwards,North Keith,Italian,2.8
REST192,"Patton, Kirk and Nelson",South Christinaport,Indian,4.3
REST193,"Evans, Wilson and Kim",Lake Jenniferfort,Mexican,4.9
REST194,Nixon-Lopez,Dianamouth,Mexican,3.2
REST195,Burch LLC,Jacquelineland,Indian,5.0
REST196,"Simon, Rodgers and Young",New Patrick,Italian,3.5
REST197,Miles-Lee,Jackfort,American,2.8
REST198,Hendrix-Berry,East Brandyburgh,Mexican,3.8
REST199,Yang-Smith,Littleberg,Mexican,3.6
REST200,Flores-Thomas,New Timothy,Indian,3.7
REST201,Adkins-Marshall,Wendymouth,Thai,4.0
REST202,Quinn and Sons,East Bruce,Mexican,2.8
REST203,Rodriguez and Sons,Lake Samuelhaven,Indian,2.9
REST204,Goodman Ltd,Colefurt,Indian,3.5
REST205,Ford-Bishop,South Natalieville,Italian,4.7
REST206,Cowan-Harper,New Dylanburgh,Mexican,4.0
REST207,Matthews-Williams,Maryport,Mexican,4.7
REST208,Sanders and Sons,South Scottport,Thai,4.9
REST209,Gentry Inc,North Joshuastad,Italian,4.6
REST210,Ortega and Sons,Taylorport,American,2.6
REST211,Brown-Taylor,North Destinyshire,Chinese,4.1
REST212,"Lopez, Galloway and Bolton",Paulmouth,Chinese,3.5
REST213,"Powell, Jimenez and Potter",Cordovamouth,Italian,4.8
REST214,"Nichols, Martinez and Phillips",Gonzalezhaven,Indian,3.9
REST215,Villa-Hart,South Marissa,Indian,3.2
REST216,Aguilar Group,Dennisview,Mexican,3.4
REST217,Larsen Group,Lake Jennifer,Indian,3.6
REST218,Newman Inc,East Kathleen,Mexican,4.7
REST219,Harrington LLC,Jonesland,Chinese,4.3
REST220,Palmer-Moore,Velasquezhaven,Mexican,4.0
REST221,Fritz PLC,East Christinaport,Italian,3.2
REST222,Bush-Sanders,Cruzborough,Italian,3.3
REST223,Vance-Hicks,Joeport,Thai,4.4
REST224,Fisher and Sons,North Emilyfort,Chinese,3.0
REST225,Fuentes Group,Lake Jeffrey,Chinese,4.2
REST226,"Allen, Berger and Cooper",Michelemouth,Thai,2.7
REST227,"Franklin, Cook and Jordan",South Alexandrafurt,Thai,2.9
REST228,"Thompson, Anderson and Newton",Thomasville,Italian,3.3
REST229,Williams Ltd,Port Brittanyville,American,2.6
REST230,"Brown, Price and Roberts",Phillipburgh,Chinese,5.0
REST231,Conner-Watson,Darlenehaven,Thai,3.8
REST232,Bryant-Hamilton,East Josephmouth,Thai,4.9
REST233,"Holland, Castro and Leonard",Smithstad,American,2.7
REST234,Barry-Walker,East James,American,3.0
REST235,Rivera-Moore,Stefaniefort,Italian,3.9
REST236,Cox LLC,Lake Eileenhaven,Chinese,4.0
REST237,Kirby-Robinson,Jacksonville,Mexican,3.6
REST238,"Tate, Smith and Vargas",North Carlos,Thai,4.1
REST239,"Thomas, Conner and Bean",North Crystal,Indian,2.9
REST240,Ford-Turner,Port Gregoryport,Thai,4.5
REST241,"Underwood, Flynn and Washington",New Andrea,Mexican,3.0
REST242,Robinson-Benton,Brianburgh,Italian,4.9
REST243,Martinez PLC,South Joshuachester,Mexican,4.1
REST244,"Sutton, Williams and Turner",New Donald,Indian,3.7
REST245,Weaver-Barnes,North Kevinborough,Italian,2.6
REST246,"Williams, Miller and Rodriguez",East Rachelburgh,Mexican,3.4
REST247,Rowland-Santiago,Brownhaven,American,5.0
REST248,"Daniels, Haas and Brown",Barronville,Thai,2.5
REST249,"Lewis, Powers and Martin",Matthewland,American,2.6
REST250,Jackson Inc,West Robertton,Indian,3.0
REST251,Mcdonald-Hernandez,Amandaland,American,3.1
REST252,"Morrow, Fox and Arnold",Brianhaven,Italian,3.3
REST253,Golden-Luna,Port Michael,Indian,3.6
REST254,"Richard, Cunningham and Reilly",Nelsonberg,Italian,3.8
REST255,Murphy-Johnson,Seanhaven,Chinese,4.5
REST256,"Morgan, Vargas and Mahoney",Port Aprilstad,Thai,3.9
REST257,Anderson PLC,Port Dustinport,Indian,4.4
REST258,"Mendoza, Dudley and Rodriguez",West Melissashire,Thai,4.2
REST259,Stewart-Mcmillan,Lake Donald,Mexican,4.8
REST260,Gonzalez-Riley,Mooreborough,Mexican,4.6
REST261,Soto LLC,Campbellmouth,American,5.0
REST262,Tyler-Bridges,New Aaron,Chinese,2.5
REST263,Jones LLC,Schwartzstad,American,2.6
REST264,Rivera-Patterson,Maryton,Thai,4.1
REST265,Adkins-Perez,Lake Leah,Mexican,2.7
REST266,"Fox, Lee and Moore",West Krystalburgh,Indian,2.6
REST267,Ramsey-Joseph,Port Kyleport,Mexican,4.5
REST268,Martin-Edwards,Taratown,Thai,4.9
REST269,Bennett and Sons,South Kevinmouth,Indian,4.5
REST270,Wilson-Snyder,West Alicechester,American,4.6
REST271,Gonzalez Inc,Charlesmouth,Thai,3.0
REST272,Black PLC,Nicolasmouth,Thai,3.0
REST273,Mclaughlin Inc,Jessicaburgh,Italian,2.7
REST274,Zimmerman LLC,South Elizabethchester,Chinese,3.0
REST275,Carrillo-Hawkins,New Cindymouth,Indian,3.8
REST276,Atkinson PLC,Port Andrewland,Italian,3.0
REST277,Cohen-Bailey,Christinahaven,Indian,2.6
REST278,Zimmerman-Ray,Loriborough,Italian,3.1
REST279,Robinson and Sons,Smithfort,American,3.6
REST280,Meyers-Serrano,Port Austin,Chinese,3.6
REST281,"Garcia, Huang and Hughes",South Gregory,Italian,4.6
REST282,Nunez Group,Foxshire,Italian,5.0
REST283,Chapman Group,East Markfurt,Italian,3.6
REST284,"Barron, Miller and Davis",Port Robertborough,Indian,3.6
REST285,Archer-Hale,Shawmouth,Thai,3.5
REST286,Walker-Harvey,Jeffreyberg,Chinese,3.6
REST287,"Wilkerson, Newton and Graves",Baldwinshire,Indian,3.5
REST288,Olson Ltd,Davidborough,Italian,4.7
REST289,"Roberts, Phillips and Long",West Angela,Chinese,4.4
REST290,"Davis, Harris and Rhodes",East Frederickhaven,Thai,4.7
REST291,"Martinez, Rodgers and Bass",North Dominique,American,4.1
REST292,Martinez-Harper,South Linda,Thai,4.2
REST293,Miller-Ortiz,Lake Theresafurt,Thai,3.6
REST294,Harper-Smith,Ingramberg,Italian,4.9
REST295,"Flores, Lee and Andrews",New James,Thai,2.7
REST296,Davis Inc,Walterstad,Italian,4.8
REST297,Reed-Graham,New Derekbury,Chinese,4.1
REST298,Benitez-Roberts,South Jerrytown,American,4.6
REST299,Hoffman-Price,Meganchester,Thai,3.3
REST300,"Armstrong, Spence and Mcgee",Fosterberg,Thai,4.4
REST301,"Jordan, Coffey and Porter",Armstrongland,Mexican,3.7
REST302,Thompson-Bond,North Anthony,Thai,4.7
REST303,"Nguyen, Smith and Smith",North Miguel,Italian,4.1
REST304,"Perez, Sanchez and Carlson",Deborahborough,Mexican,3.9
REST305,Sanchez-Green,East Reneetown,Thai,4.7
REST306,Smith Ltd,Cherylburgh,Indian,4.1
REST307,Fletcher LLC,South Crystalside,Indian,3.8
REST308,Harrison-Weber,East Jonathan,Indian,4.3
REST309,Fields and Sons,Kyleside,Mexican,3.1
REST310,Henry Ltd,Rossside,Italian,3.0
REST311,Pacheco Group,North Brookefurt,Chinese,3.0
REST312,Lang-Brown,Nathanburgh,American,4.0
REST313,Davis and Sons,Anthonybury,Thai,3.1
REST314,Willis Ltd,Darrellborough,Indian,3.5
REST315,Mclaughlin PLC,Gonzalesland,Italian,3.3
REST316,Bentley LLC,West Patrick,Indian,4.1
REST317,Phelps-Stewart,Jamiefurt,Thai,3.8
REST318,"Allen, Snyder and Smith",Clarkville,Indian,4.9
REST319,Salinas-Miller,Reedside,American,4.5
REST320,"Donovan, Garcia and Chavez",Lake Amber,Chinese,3.3
REST321,Jennings-Brewer,South Jennifer,Indian,3.2
REST322,"Martinez, Dudley and Roth",Kimchester,Thai,3.3
REST323,"Gray, Castillo and Mahoney",West Sarah,Mexican,3.5
REST324,"Thompson, Brooks and Sullivan",Joytown,Mexican,4.3
REST325,"Stanley, Ray and Brown",North Johnchester,Indian,4.1
REST326,Moon-Gonzalez,South Nicoleberg,Thai,3.7
REST327,Jennings LLC,Stephenshire,Italian,3.4
REST328,"Chen, Arnold and Patton",Cherylfort,American,4.4
REST329,Hendrix LLC,North Evelynland,Chinese,4.4
REST330,"Patterson, Green and Martinez",East Ariana,Indian,3.6
REST331,Bell and Sons,East Theresastad,Mexican,3.2
REST332,Jones-Ortiz,Heatherbury,Thai,3.6
REST333,"Kelly, Dickson and Johnson",Brandonmouth,Indian,3.6
REST334,Stanley-Morgan,West Adrianaberg,Italian,4.7
REST335,"Macdonald, Byrd and Lopez",Robertmouth,Thai,4.1
REST336,"Gaines, Leonard and Cunningham",East Christina,Thai,5.0
REST337,"Nguyen, Medina and Becker",East Garyhaven,Thai,3.3
REST338,"Chen, Murray and Armstrong",North Patricia,American,2.9
REST339,"Roman, Mclean and Strickland",Jenkinsside,Indian,3.0
REST340,Goodwin and Sons,Anthonyborough,Chinese,4.9
REST341,Sexton-Lopez,North Staceyland,Thai,2.7
REST342,Johnson-Reeves,Tylerberg,Mexican,4.9
REST343,"Serrano, Johnson and Cochran",Lake Bradleymouth,Italian,3.9
REST344,"Ponce, Hill and Cline",Wallaceside,Thai,2.9
REST345,Martin PLC,North Devonshire,Mexican,3.7
REST346,"Nash, Bright and Lopez",New Justin,Italian,4.3
REST347,Wallace-Harris,Nguyenview,Thai,3.7
REST348,Johnson Group,South Rhonda,Chinese,3.4
REST349,"Torres, Campbell and Juarez",Port Christopherville,Thai,3.2
REST350,Patel and Sons,East Michellemouth,Indian,4.7
REST351,Harris-Robinson,Desireehaven,Chinese,3.7
REST352,"Allison, Levine and Strickland",Port Jessehaven,American,4.8
REST353,Larson-Ferrell,Perezhaven,American,3.5
REST354,"Chaney, Phillips and Thomas",Fitzgeraldburgh,Mexican,2.6
REST355,Wilson-Shaffer,West Maryhaven,Mexican,4.3
REST356,Fitzgerald-Rodriguez,Nelsonmouth,Mexican,3.8
REST357,Harris-Swanson,Lisashire,Indian,2.9
REST358,Combs-Mcdonald,Caseyside,Chinese,4.4
REST359,Johnson PLC,Port Shane,Mexican,3.7
REST360,Casey-Turner,Cherylberg,Italian,3.6
REST361,"Horn, Henry and Blankenship",Port Jonathan,Italian,3.4
REST362,Cooke-Hudson,Jamesville,Thai,3.9
REST363,"Valentine, Mcgee and Simpson",Smithhaven,Mexican,4.5
REST364,"Garcia, Lam and Edwards",New Deannamouth,Thai,4.4
REST365,"Greene, Hodges and Sanders",Randystad,Italian,2.8
REST366,"Stark, Parrish and Brooks",Lake Timothytown,American,3.4
REST367,Bailey PLC,Lake Jennifer,American,4.6
REST368,"Powers, Moody and Sellers",New Barbara,Mexican,3.7
REST369,Martinez-Palmer,South Michelle,Mexican,4.5
REST370,"Johns, Garza and Nixon",Armstrongbury,Italian,3.8
REST371,"Gibson, Campbell and Smith",Blackside,Indian,4.3
REST372,"Hughes, Hansen and Jones",West Nicholas,Italian,2.5
REST373,Tucker Inc,Markview,Italian,3.6
REST374,Bennett LLC,New Eduardo,Indian,3.5
REST375,Miller-Obrien,Joycetown,Italian,4.6
REST376,"Woods, Gonzalez and Nelson",Luisburgh,Mexican,2.8
REST377,"Smith, Pruitt and Carter",Williamfort,Italian,3.0
REST378,Martin Inc,North Bryan,American,4.0
REST379,Stone-Morris,Smithport,Thai,3.4
REST380,Robbins and Sons,South Michaelview,Thai,3.0
REST381,Ford-Strickland,Clarkberg,Italian,3.5
REST382,"Brown, Garner and Stewart",Darrylstad,Italian,3.0
REST383,"Fletcher, Ward and Rose",New Noahtown,Italian,3.3
REST384,"Jensen, Graham and Bonilla",Lake Reginaldmouth,Thai,4.4
REST385,Mercado PLC,Meghantown,American,2.6
REST386,"Sanchez, Romero and Stuart",Beardmouth,Italian,3.0
REST387,Hall-Key,West Travis,Italian,4.5
REST388,"Garcia, Smith and Hood",Lake Robin,Italian,3.9
REST389,"Jackson, Nelson and Anderson",North Ronaldtown,Chinese,2.9
REST390,Nichols and Sons,Ethanside,Chinese,2.9
REST391,"Meyer, Flynn and Munoz",Michealshire,Mexican,4.1
REST392,Green-Smith,Tonyafurt,Thai,4.5
REST393,Ryan Ltd,New Jessemouth,Mexican,4.0
REST394,Gibson and Sons,Kylemouth,Italian,4.0
REST395,Moreno Inc,Michaelchester,Mexican,3.9
REST396,"Adams, Allen and Wright",Victoriamouth,Indian,2.8
REST397,Pierce Group,New Johnstad,Thai,3.1
REST398,Chan-Bishop,Theresaland,Italian,3.9
REST399,"Melton, Brown and Beck",Justinberg,Thai,3.7
REST400,Dunn Group,North Michelle,American,4.0
REST401,Henderson Group,South Zacharyland,American,3.7
REST402,Lowery LLC,North Jillton,Italian,4.6
REST403,Torres-Cervantes,Lake Elizabeth,American,3.6
REST404,Austin Ltd,Myersburgh,American,3.8
REST405,"Sweeney, Young and Odonnell",Lake Katherineberg,Italian,2.7
REST406,Thornton Inc,Garciatown,Italian,4.7
REST407,"Floyd, Webb and Lee",Ricardobury,Chinese,3.5
REST408,Williams-Chavez,New Elizabeth,Italian,4.7
REST409,Miranda-Rios,Andersonmouth,Mexican,4.6
REST410,Young-Matthews,Markfurt,Indian,4.3
REST411,Hughes Inc,Robinsontown,Indian,3.0
REST412,Valentine and Sons,Jessicahaven,Mexican,2.7
REST413,Diaz-Farmer,South Bruce,Italian,4.4
REST414,Scott and Sons,East Christinachester,American,3.0
REST415,Kelley-Roman,Lake Andrea,Thai,3.0
REST416,"White, Griffith and Ramirez",Toddtown,Italian,3.4
REST417,Fritz-Washington,Parkerside,Chinese,4.4
REST418,Thompson-Campbell,Lynnburgh,Chinese,3.9
REST419,"Pham, Johnson and Taylor",New Todd,Indian,4.5
REST420,Woodward-Russell,Zacharymouth,Chinese,4.5
REST421,Griffith-Campbell,Petersonside,Mexican,3.6
REST422,Dominguez-Galloway,Brianaport,Chinese,3.2
REST423,Best Ltd,North Michellehaven,Thai,3.6
REST424,"Hamilton, Fuller and Davis",Robertport,Chinese,4.1
REST425,Ray Ltd,Deborahshire,American,4.6
REST426,"Williams, Brooks and Castro",Dianaland,American,4.3
REST427,"Gonzalez, Thomas and Lee",New Lauren,American,4.7
REST428,Griffith Group,West Emilyshire,Thai,2.9
REST429,Mccarthy-Harvey,Lake Conniestad,Italian,3.8
REST430,"Parker, Austin and Mcdowell",Lake Donaldmouth,American,4.2
REST431,Cortez-Stevens,East Michael,Thai,3.4
REST432,"Clark, Russell and Butler",Lake Samantha,American,4.2
REST433,"King, Lopez and Miller",New Saraview,Thai,4.9
REST434,"Sanchez, Carey and Bryant",West Ann,Italian,3.0
REST435,"Ramsey, Wilson and Banks",Andersonport,Thai,3.6
REST436,"Cain, Hampton and Pierce",Shellychester,Mexican,3.5
REST437,Mitchell-Shaw,North Melissafort,Mexican,2.5
REST438,Costa-Lawson,Larsonton,Italian,2.9
REST439,"Fritz, Wagner and Mejia",South Lauren,American,4.3
REST440,Baker Ltd,North Marcus,Italian,4.6
REST441,Neal Group,North Anthonyfurt,Italian,4.8
REST442,Barrett Inc,Lake Danielfort,Italian,4.3
REST443,"Gordon, Smith and Jones",Cynthiaton,Indian,3.0
REST444,"James, Moreno and Soto",Lake Barbara,Mexican,2.7
REST445,"Patel, Reid and Hurley",Ochoaborough,Italian,2.7
REST446,Moore-Kidd,Martinezland,Indian,2.5
REST447,Miller PLC,East Jessica,Indian,4.9
REST448,"Warner, Wilson and Hart",West Yvette,Mexican,3.8
REST449,King Ltd,Harrisside,American,3.5
REST450,"Simpson, Fritz and Thompson",Copelandview,Thai,2.9
REST451,Burke Group,Zacharyview,Chinese,4.2
REST452,"Reyes, Morris and Wang",New Johnnytown,Indian,4.0
REST453,"Terry, Oneal and Thomas",Pachecoside,Chinese,3.6
REST454,"Richards, Boyd and Velazquez",Port Gary,American,3.4
REST455,Villa PLC,Port Jason,Mexican,3.4
REST456,"Henry, Hall and Mitchell",Camacholand,Chinese,2.5
REST457,Thomas-Friedman,Nguyenport,Indian,2.7
REST458,Wells Inc,New Jasonstad,Mexican,2.9
REST459,Todd-Johnson,Riosville,Thai,2.9
REST460,May Inc,Jeremyborough,American,2.7
REST461,"Harmon, Castillo and Boyer",Lake Kayla,Italian,2.7
REST462,"Weiss, Chavez and Diaz",Dianaburgh,Indian,2.5
REST463,Woods-Ali,West Kenneth,Thai,4.1
REST464,Vance Group,Smithport,American,2.9
REST465,Wilson-Gonzalez,South Regina,Italian,3.9
REST466,Pham and Sons,Mitchellland,Mexican,3.1
REST467,Conway and Sons,Port Michaelfort,Chinese,5.0
REST468,"Smith, Welch and Lopez",Ryanborough,Chinese,4.4
REST469,Gallegos-Perry,Nicholasberg,American,3.3
REST470,Brown Group,Chasetown,Thai,3.0
REST471,"Berry, Williams and Baldwin",Thompsonberg,Thai,3.8
REST472,Hunter Group,East Adam,Thai,4.9
REST473,Obrien LLC,East Michael,Thai,4.8
REST474,Carter-Wallace,Mccallshire,Indian,2.9
REST475,Valenzuela-Burns,North Kellymouth,Indian,4.7
REST476,Daniel Group,Leslieport,Indian,4.9
REST477,"Clark, Hubbard and Gutierrez",Shawnville,Italian,4.5
REST478,Wade Inc,Port Willie,Mexican,2.8
REST479,"Alvarez, Ortiz and Garcia",South Elizabeth,Italian,4.8
REST480,Campos LLC,New Andrea,Chinese,4.0
REST481,"James, Valenzuela and Eaton",Jacksonport,Thai,4.2
REST482,"Forbes, Williams and Turner",New Brendamouth,Mexican,3.2
REST483,Mathis and Sons,Brianchester,Indian,4.0
REST484,Patel-Smith,Michaelchester,Mexican,4.3
REST485,"Russell, Williams and Hayes",Lake John,Chinese,4.1
REST486,Mullins Group,North Jennaview,American,2.9
REST487,Moore-Price,North Jasonbury,Indian,2.9
REST488,Allen-Nunez,Gentryland,American,4.9
REST489,Weber LLC,Lorichester,Chinese,3.6
REST490,Woodard and Sons,New Katherine,Italian,2.5
REST491,"Smith, Fisher and French",Lake Kimberlyhaven,Mexican,5.0
REST492,"Spence, Cook and Campbell",Vegaberg,Chinese,2.9
REST493,Yang-Patterson,Hannahville,Thai,2.7
REST494,"Fisher, Cannon and Reed",Sanchezview,American,3.7
REST495,"Mckinney, Jones and Hayes",Lake Jamesport,Thai,3.8
REST496,"Mccormick, Gates and Campbell",South Allenstad,Indian,3.6
REST497,Jones-Dorsey,Smithfort,Indian,4.2
REST498,Barry-Maldonado,Josephstad,Mexican,2.9
REST499,Dyer Group,West Stacey,Indian,4.6
REST500,Gordon-Anderson,New Richardstad,Indian,3.4
REST501,Humphrey-Hayes,South Michael,Chinese,4.7
REST502,Kelly-King,North Jillville,Italian,3.0
REST503,"Russell, Allen and Drake",Gonzalezmouth,Mexican,4.9
REST504,Beltran-Haynes,West Thomas,Mexican,4.7
REST505,Hampton PLC,North Jamestown,Indian,3.7
REST506,Thomas-Lamb,Laurenburgh,Italian,4.1
REST507,Robinson and Sons,West Matthewport,Chinese,3.7
REST508,Lewis-Cox,North Anne,Italian,2.9
REST509,Gill Inc,Barbarafurt,Italian,4.0
REST510,"Hayes, Myers and Smith",Seanfurt,Italian,4.8
REST511,"Luna, Davis and Ross",Staceyburgh,Thai,2.9
REST512,Wilson Ltd,Lake Barbarabury,Mexican,3.6
REST513,Castillo-Ramirez,West Davidmouth,Chinese,3.1
REST514,Small Ltd,Harveymouth,Indian,3.4
REST515,Estes-Robertson,Michaelstad,Thai,3.9
REST516,Martin-Young,North Makayla,Mexican,2.8
REST517,"Mcfarland, Anderson and Clark",East Raymond,Italian,2.6
REST518,"Collins, Gibson and Glover",West Joe,Mexican,3.8
REST519,Walters Inc,Kaitlynfurt,Chinese,2.6
REST520,"Powell, Maddox and Farrell",Graystad,Chinese,3.0
REST521,Oliver-Smith,Lake Jeffreychester,Mexican,4.4
REST522,David PLC,Coxshire,Chinese,2.9
REST523,Santos Group,New Lindsaystad,Thai,3.6
REST524,Wise Ltd,Kevinchester,Italian,5.0
REST525,Hall-Cunningham,North Brookebury,Thai,4.1
REST526,Armstrong-Lynn,East Patriciaville,Chinese,2.6
REST527,Jones-Villanueva,South Ritatown,Mexican,4.0
REST528,Lara PLC,Lyonsfort,American,3.3
REST529,Brown-Small,Lake Sheila,Chinese,4.9
REST530,Michael-Ortiz,West Erin,Italian,2.6
REST531,Cross PLC,New James,Chinese,3.0
REST532,King-Williams,Lake Chelseahaven,Thai,2.7
REST533,Melendez Inc,Elizabethberg,Italian,4.4
REST534,Bowen Inc,New David,Mexican,2.8
REST535,"Guzman, Smith and Wright",East Phillipton,Chinese,4.8
REST536,"Russell, Torres and Zavala",Toddtown,Chinese,3.4
REST537,Allen Inc,Christensenburgh,American,3.8
REST538,Kelly-Taylor,East Alexanderchester,American,3.4
REST539,"Grant, Benjamin and Knight",West Angelaton,Italian,4.1
REST540,Washington Group,North David,Thai,5.0
REST541,"Buckley, Hendrix and Gonzalez",Port Mark,American,4.2
REST542,Scott Ltd,Malikburgh,Mexican,3.6
REST543,Perez Group,Schmidttown,Chinese,4.1
REST544,Jones Group,New Thomas,Indian,4.2
REST545,Floyd-Johnston,New Sheilaport,Chinese,3.2
REST546,George Group,Lake Sarahmouth,American,4.5
REST547,Wu Ltd,Lopezshire,Indian,5.0
REST548,Knox and Sons,West Angelaborough,Mexican,3.9
REST549,"Reynolds, Perez and Mack",Lyonsville,Chinese,4.2
REST550,Johnson Inc,East Amybury,Thai,4.6
REST551,"Snyder, Phillips and Carter",New Michaelchester,Chinese,3.9
REST552,Gonzalez-Griffin,Lake Jeffrey,American,3.6
REST553,Thomas-Cox,Jillmouth,Italian,4.0
REST554,Vang-Evans,New Shawnatown,Indian,4.8
REST555,Faulkner-Acosta,South Gregoryside,American,3.4
REST556,Combs-Gonzalez,Dennisstad,Mexican,3.1
REST557,"Campos, Cooper and Villarreal",Johnhaven,Italian,3.8
REST558,Warren Inc,Ravenview,Indian,3.4
REST559,Blevins-Jimenez,Nathanielchester,Italian,4.8
REST560,Juarez-Harris,New Dillon,Thai,3.7
REST561,Terry and Sons,West Valerie,Indian,4.0
REST562,"Myers, Romero and Roberts",South Nicholas,Italian,3.9
REST563,Holmes-Miller,Danielsport,Italian,2.9
REST564,Hall PLC,Port Grace,Italian,3.9
REST565,"Thompson, Clark and Matthews",Port Courtney,Italian,4.3
REST566,Vargas-Medina,Lisashire,American,3.8
