item_id,order_id,item_name,quantity,price
ITEM5044,ORD55204,Biryani,2,10.44
ITEM5045,ORD18256,Burger,3,8.82
ITEM5046,ORD51844,Biryani,4,5.78
ITEM5047,ORD24859,Tacos,1,4.21
ITEM5048,ORD35947,Sushi,4,3.35
ITEM5049,ORD12949,Burger,3,6.73
ITEM5050,ORD10543,Pizza,2,10.18
ITEM5051,ORD21733,Burger,1,6.01
ITEM5052,ORD55156,Salad,3,11.69
ITEM5053,ORD30555,Biryani,2,13.45
ITEM5054,ORD10020,Pizza,4,7.38
ITEM5055,ORD50960,Pasta,5,4.5
ITEM5056,ORD42915,Salad,1,12.79
ITEM5057,ORD45984,Biryani,5,10.13
ITEM5058,ORD26471,Salad,4,5.33
ITEM5059,ORD24474,Salad,3,5.46
ITEM5060,ORD28803,Burger,4,12.31
ITEM5061,ORD49306,Biryani,2,12.18
ITEM5062,ORD30470,Tacos,3,7.27
ITEM5063,ORD52320,Salad,3,10.34
ITEM5064,ORD35021,Pasta,2,6.63
ITEM5065,ORD27185,Biryani,5,10.32
ITEM5066,ORD32074,Tacos,5,12.44
ITEM5067,ORD38958,Pizza,1,7.34
ITEM5068,ORD58767,Pasta,1,4.41
ITEM5069,ORD24140,Pizza,1,5.51
ITEM5070,ORD51818,Tacos,5,12.84
ITEM5071,ORD59781,Burger,1,6.28
ITEM5072,ORD25717,Pasta,1,6.02
ITEM5073,ORD49550,Burger,5,3.71
ITEM5074,ORD51487,Salad,1,12.28
ITEM5075,ORD47830,Salad,2,9.0
ITEM5076,ORD18442,Tacos,4,10.38
ITEM5077,ORD13231,Sushi,5,13.7
ITEM5078,ORD48352,Sushi,3,11.48
ITEM5079,ORD46388,Pasta,4,14.16
ITEM5080,ORD31138,Biryani,1,8.06
ITEM5081,ORD28451,Salad,1,9.77
ITEM5082,ORD54004,Tacos,2,2.91
ITEM5083,ORD23365,Burger,4,12.45
ITEM5084,ORD39227,Pizza,3,9.95
ITEM5085,ORD21089,Salad,5,3.89
ITEM5086,ORD35792,Pasta,2,11.89
ITEM5087,ORD30741,Biryani,1,14.82
ITEM5088,ORD31180,Salad,1,3.61
ITEM5089,ORD41004,Burger,4,8.05
ITEM5090,ORD35398,Burger,4,11.64
ITEM5091,ORD10204,Pizza,2,4.0
ITEM5092,ORD15620,Pasta,3,11.06
ITEM5093,ORD20377,Pizza,3,13.81
ITEM5094,ORD29206,Sushi,2,3.47
ITEM5095,ORD18201,Pasta,4,12.18
ITEM5096,ORD36370,Sushi,1,14.65
ITEM5097,ORD14763,Biryani,4,6.2
ITEM5098,ORD51309,Biryani,5,3.61
ITEM5099,ORD46575,Sushi,2,10.97
ITEM5100,ORD17630,Burger,3,12.89
ITEM5101,ORD11032,Sushi,1,3.8
ITEM5102,ORD42413,Pasta,5,10.83
ITEM5103,ORD57307,Pasta,5,7.12
ITEM5104,ORD32708,Sushi,1,3.65
ITEM5105,ORD23063,Burger,5,10.45
ITEM5106,ORD41608,Tacos,5,4.08
ITEM5107,ORD26721,Sushi,3,5.35
ITEM5108,ORD20157,Salad,5,2.67
ITEM5109,ORD25117,Biryani,3,8.43
ITEM5110,ORD47316,Burger,3,6.33
ITEM5111,ORD57718,Pasta,1,13.03
ITEM5112,ORD45165,Tacos,3,6.52
ITEM5113,ORD21012,Biryani,4,4.84
ITEM5114,ORD29853,Sushi,5,14.72
ITEM5115,ORD17263,Sushi,5,8.99
ITEM5116,ORD55589,Burger,5,7.17
ITEM5117,ORD28282,Pizza,3,6.63
ITEM5118,ORD57288,Salad,4,9.3
ITEM5119,ORD48452,Pasta,1,10.63
ITEM5120,ORD42243,Salad,2,13.01
ITEM5121,ORD34025,Burger,1,7.2
ITEM5122,ORD37374,Sushi,1,6.88
ITEM5123,ORD58353,Pasta,1,12.06
ITEM5124,ORD52718,Salad,5,5.19
ITEM5125,ORD13108,Pasta,5,7.16
ITEM5126,ORD17384,Biryani,1,10.83
ITEM5127,ORD14888,Salad,2,14.97
ITEM5128,ORD54575,Biryani,2,7.19
ITEM5129,ORD14069,Pasta,1,4.21
ITEM5130,ORD56171,Burger,2,11.38
ITEM5131,ORD25618,Pasta,4,4.98
ITEM5132,ORD21608,Biryani,2,5.88
ITEM5133,ORD31710,Salad,1,13.31
ITEM5134,ORD38504,Biryani,5,6.76
ITEM5135,ORD24412,Pasta,3,6.14
ITEM5136,ORD47973,Burger,4,13.14
ITEM5137,ORD39136,Pasta,2,4.12
ITEM5138,ORD34445,Tacos,2,2.53
ITEM5139,ORD56429,Burger,1,7.48
ITEM5140,ORD39597,Pasta,2,13.44
ITEM5141,ORD18801,Sushi,2,11.5
ITEM5142,ORD40739,Pasta,4,14.3
ITEM5143,ORD56073,Biryani,2,5.68
ITEM5144,ORD48719,Biryani,5,6.91
ITEM5145,ORD16938,Burger,5,4.87
ITEM5146,ORD32644,Pizza,3,5.88
ITEM5147,ORD29583,Biryani,4,13.55
ITEM5148,ORD12988,Burger,5,8.57
ITEM5149,ORD18000,Burger,5,10.18
ITEM5150,ORD33115,Salad,1,12.43
ITEM5151,ORD37619,Biryani,5,12.32
ITEM5152,ORD20593,Pasta,2,12.49
ITEM5153,ORD47855,Pizza,1,8.82
ITEM5154,ORD34394,Pasta,3,7.91
ITEM5155,ORD24442,Pasta,3,8.1
ITEM5156,ORD14584,Biryani,2,7.58
ITEM5157,ORD17440,Pasta,3,14.14
ITEM5158,ORD11445,Pasta,4,3.91
ITEM5159,ORD45082,Tacos,3,8.68
ITEM5160,ORD26760,Burger,5,6.41
ITEM5161,ORD19101,Burger,3,8.84
ITEM5162,ORD40749,Pizza,3,13.44
ITEM5163,ORD12643,Sushi,3,3.81
ITEM5164,ORD58795,Tacos,4,11.31
ITEM5165,ORD21427,Pasta,1,4.08
ITEM5166,ORD55074,Pasta,4,14.54
ITEM5167,ORD12808,Pasta,4,5.34
ITEM5168,ORD14665,Salad,1,11.02
ITEM5169,ORD28656,Pasta,1,12.89
ITEM5170,ORD39266,Sushi,3,13.97
ITEM5171,ORD57816,Salad,3,9.76
ITEM5172,ORD49348,Pizza,1,14.71
ITEM5173,ORD44360,Tacos,1,8.86
ITEM5174,ORD37444,Pasta,5,14.32
ITEM5175,ORD31713,Sushi,4,12.98
ITEM5176,ORD48967,Salad,4,3.19
ITEM5177,ORD54055,Sushi,5,3.48
ITEM5178,ORD26746,Biryani,4,12.62
ITEM5179,ORD10642,Pasta,3,12.13
ITEM5180,ORD34161,Salad,3,6.7
ITEM5181,ORD34084,Sushi,2,9.46
ITEM5182,ORD20753,Salad,1,4.95
ITEM5183,ORD25016,Pasta,4,11.5
ITEM5184,ORD25096,Pizza,4,8.43
ITEM5185,ORD54728,Pizza,4,14.92
ITEM5186,ORD58456,Tacos,4,8.54
ITEM5187,ORD11742,Burger,4,4.09
ITEM5188,ORD41549,Burger,3,9.7
ITEM5189,ORD40178,Sushi,1,7.87
ITEM5190,ORD11079,Pasta,5,13.26
ITEM5191,ORD58087,Pizza,2,10.07
ITEM5192,ORD34135,Salad,2,13.27
ITEM5193,ORD15601,Tacos,4,2.97
ITEM5194,ORD41357,Burger,1,4.09
ITEM5195,ORD51631,Salad,4,5.0
ITEM5196,ORD53318,Burger,5,9.03
ITEM5197,ORD30888,Salad,5,14.74
ITEM5198,ORD43575,Biryani,5,10.47
ITEM5199,ORD47169,Sushi,1,2.68
ITEM5200,ORD36025,Pasta,4,13.86
ITEM5201,ORD26984,Pasta,4,9.04
ITEM5202,ORD56931,Biryani,3,9.61
ITEM5203,ORD16175,Tacos,5,12.22
ITEM5204,ORD58698,Sushi,5,10.93
ITEM5205,ORD13517,Tacos,2,9.51
ITEM5206,ORD41417,Pizza,1,7.7
ITEM5207,ORD50980,Sushi,5,11.32
ITEM5208,ORD29917,Burger,3,12.3
ITEM5209,ORD15368,Salad,5,7.18
ITEM5210,ORD13444,Burger,3,9.5
ITEM5211,ORD10104,Biryani,5,10.83
ITEM5212,ORD22612,Biryani,1,14.45
ITEM5213,ORD24911,Pasta,3,14.37
ITEM5214,ORD29938,Pasta,1,3.83
ITEM5215,ORD46777,Pasta,1,3.56
ITEM5216,ORD16355,Pasta,4,7.01
ITEM5217,ORD35187,Pizza,4,8.77
ITEM5218,ORD34463,Sushi,2,9.97
ITEM5219,ORD59640,Pizza,4,9.98
ITEM5220,ORD40487,Pasta,5,13.79
ITEM5221,ORD40124,Burger,3,2.97
ITEM5222,ORD17224,Pasta,5,9.26
ITEM5223,ORD48184,Burger,3,13.66
ITEM5224,ORD37622,Sushi,4,13.71
ITEM5225,ORD33297,Burger,5,8.3
ITEM5226,ORD49253,Tacos,5,5.49
ITEM5227,ORD39991,Sushi,3,13.26
ITEM5228,ORD44520,Pizza,2,6.56
ITEM5229,ORD23103,Tacos,4,10.03
ITEM5230,ORD29442,Tacos,4,6.13
ITEM5231,ORD26749,Pasta,2,14.37
ITEM5232,ORD41957,Sushi,2,4.69
ITEM5233,ORD34071,Pasta,4,5.91
ITEM5234,ORD19670,Biryani,5,10.27
ITEM5235,ORD29163,Salad,4,8.15
ITEM5236,ORD32624,Pizza,3,12.86
ITEM5237,ORD16046,Pizza,1,2.59
ITEM5238,ORD42289,Biryani,2,6.57
ITEM5239,ORD28944,Salad,1,14.3
ITEM5240,ORD43572,Salad,2,4.86
ITEM5241,ORD55242,Salad,3,8.52
ITEM5242,ORD57784,Tacos,2,4.36
ITEM5243,ORD30536,Salad,1,3.86
ITEM5244,ORD51542,Salad,3,14.26
ITEM5245,ORD20865,Biryani,3,7.08
ITEM5246,ORD28937,Tacos,3,13.9
ITEM5247,ORD39025,Biryani,5,12.52
ITEM5248,ORD15812,Sushi,1,4.32
ITEM5249,ORD30390,Tacos,3,5.47
ITEM5250,ORD55837,Salad,1,13.97
ITEM5251,ORD58553,Pasta,5,12.23
ITEM5252,ORD55178,Burger,1,8.16
ITEM5253,ORD23193,Burger,3,11.59
ITEM5254,ORD59671,Tacos,1,14.88
ITEM5255,ORD44251,Salad,4,13.19
ITEM5256,ORD45743,Pizza,4,8.99
ITEM5257,ORD36418,Salad,5,9.9
ITEM5258,ORD35825,Salad,5,8.15
ITEM5259,ORD56936,Pizza,3,10.37
ITEM5260,ORD22671,Sushi,4,3.39
ITEM5261,ORD49152,Pizza,1,14.96
ITEM5262,ORD33351,Pizza,4,7.73
ITEM5263,ORD32825,Sushi,3,8.31
ITEM5264,ORD54904,Pasta,3,8.28
ITEM5265,ORD43619,Pasta,5,2.69
ITEM5266,ORD55402,Sushi,3,11.52
ITEM5267,ORD45598,Pasta,4,2.98
ITEM5268,ORD37845,Biryani,3,12.09
ITEM5269,ORD38796,Biryani,5,9.22
ITEM5270,ORD12264,Burger,5,3.17
ITEM5271,ORD50438,Pasta,4,7.77
ITEM5272,ORD16057,Pizza,2,14.4
ITEM5273,ORD33500,Pizza,1,14.04
ITEM5274,ORD25897,Biryani,1,3.93
ITEM5275,ORD25231,Sushi,1,14.45
ITEM5276,ORD42228,Tacos,5,6.05
ITEM5277,ORD55317,Pizza,5,6.06
ITEM5278,ORD53530,Pizza,4,4.21
ITEM5279,ORD36359,Salad,1,7.37
ITEM5280,ORD52414,Pizza,3,10.01
ITEM5281,ORD42595,Salad,5,7.42
ITEM5282,ORD11516,Tacos,2,11.52
ITEM5283,ORD23883,Burger,4,14.39
ITEM5284,ORD49781,Salad,1,4.74
ITEM5285,ORD36658,Biryani,1,6.23
ITEM5286,ORD30954,Pizza,4,13.69
ITEM5287,ORD30263,Tacos,1,13.71
ITEM5288,ORD19542,Pizza,3,8.62
ITEM5289,ORD56047,Pizza,4,4.94
ITEM5290,ORD22425,Tacos,2,10.35
ITEM5291,ORD46758,Biryani,4,11.89
ITEM5292,ORD17771,Biryani,4,8.69
ITEM5293,ORD14068,Burger,2,3.47
ITEM5294,ORD14888,Sushi,1,7.99
ITEM5295,ORD38207,Pizza,4,10.64
ITEM5296,ORD55722,Biryani,1,13.77
ITEM5297,ORD48881,Salad,4,5.37
ITEM5298,ORD33599,Burger,2,10.54
ITEM5299,ORD28483,Biryani,5,12.27
ITEM5300,ORD41024,Tacos,1,7.69
ITEM5301,ORD13488,Sushi,1,13.39
ITEM5302,ORD36091,Sushi,5,14.77
ITEM5303,ORD14744,Salad,3,8.58
ITEM5304,ORD42696,Pasta,2,13.36
ITEM5305,ORD46069,Pizza,5,11.27
ITEM5306,ORD15457,Salad,2,10.6
ITEM5307,ORD56862,Biryani,1,6.5
ITEM5308,ORD30210,Pizza,3,11.79
ITEM5309,ORD21266,Burger,4,12.53
ITEM5310,ORD33631,Sushi,5,11.51
ITEM5311,ORD56279,Salad,3,13.32
ITEM5312,ORD26421,Pasta,1,11.51
ITEM5313,ORD42070,Pizza,3,9.26
ITEM5314,ORD26976,Biryani,5,5.64
ITEM5315,ORD18826,Pasta,1,8.23
ITEM5316,ORD43347,Tacos,5,2.58
ITEM5317,ORD11748,Burger,1,7.88
ITEM5318,ORD42795,Biryani,4,9.87
ITEM5319,ORD53188,Pasta,1,11.93
ITEM5320,ORD19478,Tacos,4,4.63
ITEM5321,ORD41263,Burger,3,12.5
ITEM5322,ORD20954,Pasta,2,12.83
ITEM5323,ORD23887,Sushi,5,13.68
ITEM5324,ORD25932,Pasta,2,4.8
ITEM5325,ORD19803,Biryani,5,7.37
ITEM5326,ORD55303,Pasta,5,6.38
ITEM5327,ORD50161,Sushi,1,6.36
ITEM5328,ORD15243,Pasta,1,6.2
ITEM5329,ORD30523,Sushi,4,13.1
ITEM5330,ORD15351,Pasta,5,13.55
ITEM5331,ORD39526,Pasta,2,12.53
ITEM5332,ORD56070,Sushi,2,13.57
ITEM5333,ORD29247,Pasta,3,14.34
ITEM5334,ORD53185,Tacos,3,7.06
ITEM5335,ORD27380,Biryani,2,14.94
ITEM5336,ORD53970,Pizza,4,3.04
ITEM5337,ORD19594,Tacos,2,13.68
ITEM5338,ORD40110,Salad,3,8.34
ITEM5339,ORD12255,Salad,3,14.93
ITEM5340,ORD46781,Sushi,5,5.26
ITEM5341,ORD18957,Salad,3,11.07
ITEM5342,ORD58181,Pizza,2,6.36
ITEM5343,ORD34277,Tacos,3,7.65
ITEM5344,ORD38180,Sushi,3,3.33
ITEM5345,ORD41934,Burger,1,11.45
ITEM5346,ORD28595,Tacos,4,13.79
ITEM5347,ORD12217,Pizza,5,12.61
ITEM5348,ORD56133,Biryani,4,12.51
ITEM5349,ORD45568,Pizza,5,13.13
ITEM5350,ORD59789,Pizza,5,11.65
ITEM5351,ORD27018,Biryani,1,3.33
ITEM5352,ORD43864,Burger,2,14.76
ITEM5353,ORD50965,Pizza,1,9.98
ITEM5354,ORD44311,Sushi,4,7.62
ITEM5355,ORD54007,Pizza,2,5.18
ITEM5356,ORD18196,Pizza,5,4.56
ITEM5357,ORD51242,Burger,1,10.21
ITEM5358,ORD11184,Tacos,5,6.15
ITEM5359,ORD45128,Pasta,2,4.46
ITEM5360,ORD25909,Burger,2,13.67
ITEM5361,ORD44511,Salad,2,10.03
ITEM5362,ORD55888,Pasta,1,6.04
ITEM5363,ORD58853,Tacos,5,8.38
ITEM5364,ORD43259,Tacos,5,4.86
ITEM5365,ORD12300,Pasta,5,11.68
ITEM5366,ORD30160,Tacos,2,14.41
ITEM5367,ORD15521,Biryani,3,7.72
ITEM5368,ORD52313,Sushi,5,7.81
ITEM5369,ORD30987,Pizza,2,8.28
ITEM5370,ORD39896,Pizza,1,10.33
ITEM5371,ORD33703,Sushi,5,10.24
ITEM5372,ORD27604,Sushi,1,8.2
ITEM5373,ORD58673,Tacos,1,12.77
ITEM5374,ORD25604,Biryani,3,2.84
ITEM5375,ORD43805,Pasta,3,6.6
ITEM5376,ORD36261,Sushi,3,12.38
ITEM5377,ORD11176,Biryani,5,13.19
ITEM5378,ORD47748,Sushi,1,6.41
ITEM5379,ORD56071,Salad,2,9.8
ITEM5380,ORD50400,Sushi,4,10.11
ITEM5381,ORD48764,Burger,5,8.27
ITEM5382,ORD28670,Salad,4,4.51
ITEM5383,ORD16098,Pasta,1,10.46
ITEM5384,ORD47825,Sushi,1,7.61
ITEM5385,ORD12557,Tacos,1,11.69
ITEM5386,ORD38176,Pizza,3,14.47
ITEM5387,ORD19601,Salad,4,9.63
ITEM5388,ORD24047,Tacos,1,5.1
ITEM5389,ORD14845,Burger,3,5.89
ITEM5390,ORD18977,Pizza,4,6.8
ITEM5391,ORD40519,Burger,4,8.29
ITEM5392,ORD12976,Salad,2,9.96
ITEM5393,ORD23485,Salad,3,8.85
ITEM5394,ORD56982,Sushi,1,7.31
ITEM5395,ORD44534,Sushi,5,12.43
ITEM5396,ORD56628,Burger,4,9.3
ITEM5397,ORD21398,Biryani,3,6.26
ITEM5398,ORD13818,Pizza,4,4.56
ITEM5399,ORD26892,Pizza,2,5.55
ITEM5400,ORD38674,Biryani,5,8.27
ITEM5401,ORD34161,Pasta,2,10.14
ITEM5402,ORD18493,Pizza,5,4.07
ITEM5403,ORD23674,Pizza,5,8.88
ITEM5404,ORD33410,Tacos,3,6.41
ITEM5405,ORD40749,Salad,3,6.41
ITEM5406,ORD41536,Tacos,2,11.64
ITEM5407,ORD23746,Biryani,1,6.19
ITEM5408,ORD15524,Biryani,1,14.92
ITEM5409,ORD10095,Salad,5,10.19
ITEM5410,ORD34031,Burger,3,6.39
ITEM5411,ORD21039,Salad,1,6.84
ITEM5412,ORD58868,Pizza,5,3.7
ITEM5413,ORD56891,Biryani,3,5.71
ITEM5414,ORD22355,Burger,2,10.09
ITEM5415,ORD24281,Tacos,4,11.09
ITEM5416,ORD47043,Burger,4,12.7
ITEM5417,ORD31179,Burger,4,7.27
ITEM5418,ORD10575,Pasta,2,9.58
ITEM5419,ORD48852,Pizza,3,9.37
ITEM5420,ORD17169,Burger,4,3.66
ITEM5421,ORD14449,Pizza,4,12.44
ITEM5422,ORD34369,Biryani,2,6.18
ITEM5423,ORD13664,Burger,1,13.81
ITEM5424,ORD43568,Pizza,4,7.35
ITEM5425,ORD34363,Sushi,1,14.94
ITEM5426,ORD17510,Pasta,1,7.6
ITEM5427,ORD11176,Pasta,2,5.53
ITEM5428,ORD32171,Sushi,3,13.74
ITEM5429,ORD20340,Biryani,3,9.25
ITEM5430,ORD48791,Biryani,1,12.45
ITEM5431,ORD58986,Burger,5,11.13
ITEM5432,ORD19045,Tacos,4,12.71
ITEM5433,ORD37646,Pasta,5,9.86
ITEM5434,ORD43733,Sushi,5,6.15
ITEM5435,ORD34403,Salad,5,7.63
ITEM5436,ORD49492,Biryani,5,8.25
ITEM5437,ORD24990,Pizza,1,11.74
ITEM5438,ORD39616,Salad,5,13.86
ITEM5439,ORD56689,Sushi,4,3.0
ITEM5440,ORD14390,Burger,3,10.03
ITEM5441,ORD11853,Pizza,1,10.42
ITEM5442,ORD45108,Pasta,4,10.58
ITEM5443,ORD54735,Pizza,4,13.52
ITEM5444,ORD32103,Tacos,2,14.08
ITEM5445,ORD29874,Salad,5,8.82
ITEM5446,ORD35430,Tacos,4,10.71
ITEM5447,ORD46873,Biryani,3,12.07
ITEM5448,ORD48240,Burger,4,6.62
ITEM5449,ORD19470,Pizza,3,8.24
ITEM5450,ORD22617,Burger,3,11.95
ITEM5451,ORD46945,Sushi,3,11.4
ITEM5452,ORD25037,Sushi,1,11.08
ITEM5453,ORD46326,Salad,1,9.47
ITEM5454,ORD42132,Sushi,3,3.68
ITEM5455,ORD57163,Salad,4,3.14
ITEM5456,ORD44414,Tacos,2,5.19
ITEM5457,ORD31073,Salad,5,14.69
ITEM5458,ORD42029,Sushi,4,14.8
ITEM5459,ORD25250,Burger,5,12.84
ITEM5460,ORD14815,Pasta,5,11.5
ITEM5461,ORD24657,Pizza,1,10.14
ITEM5462,ORD19177,Tacos,1,3.72
ITEM5463,ORD22775,Pizza,1,13.29
ITEM5464,ORD39288,Pasta,3,14.24
ITEM5465,ORD36220,Pasta,5,8.59
ITEM5466,ORD34777,Burger,2,10.07
ITEM5467,ORD10005,Biryani,2,14.37
ITEM5468,ORD47278,Pasta,3,13.4
ITEM5469,ORD49150,Sushi,2,10.18
ITEM5470,ORD41404,Biryani,4,7.08
ITEM5471,ORD30189,Salad,5,12.02
ITEM5472,ORD42770,Biryani,4,7.23
ITEM5473,ORD57917,Burger,1,14.82
ITEM5474,ORD50506,Biryani,1,6.62
ITEM5475,ORD54203,Pizza,2,12.37
ITEM5476,ORD11493,Salad,4,11.15
ITEM5477,ORD47726,Pasta,1,4.63
ITEM5478,ORD55614,Pizza,1,12.0
ITEM5479,ORD29166,Pizza,4,6.66
ITEM5480,ORD36778,Biryani,5,11.6
ITEM5481,ORD45323,Burger,2,7.18
ITEM5482,ORD35693,Salad,3,3.49
ITEM5483,ORD11000,Pizza,5,10.46
ITEM5484,ORD19725,Tacos,1,3.0
ITEM5485,ORD40782,Biryani,1,8.19
ITEM5486,ORD54981,Salad,4,4.48
ITEM5487,ORD35820,Burger,3,11.19
ITEM5488,ORD36518,Pasta,4,3.77
ITEM5489,ORD34950,Tacos,4,3.24
ITEM5490,ORD48080,Burger,3,3.79
ITEM5491,ORD11286,Salad,1,12.72
ITEM5492,ORD59095,Burger,3,13.47
ITEM5493,ORD22662,Pizza,4,11.19
ITEM5494,ORD10327,Salad,5,5.58
ITEM5495,ORD51617,Pasta,3,10.01
ITEM5496,ORD38495,Tacos,2,3.24
ITEM5497,ORD58178,Biryani,1,13.01
ITEM5498,ORD51418,Tacos,4,2.56
ITEM5499,ORD42955,Tacos,3,4.8
ITEM5500,ORD25169,Salad,4,10.8
ITEM5501,ORD25330,Biryani,5,4.58
ITEM5502,ORD27353,Tacos,1,12.65
ITEM5503,ORD47613,Tacos,2,4.04
ITEM5504,ORD55924,Pizza,4,14.98
ITEM5505,ORD23008,Burger,1,11.44
ITEM5506,ORD17166,Pasta,2,14.62
ITEM5507,ORD38314,Tacos,2,10.06
ITEM5508,ORD26434,Salad,2,6.41
ITEM5509,ORD58773,Burger,3,11.28
ITEM5510,ORD11225,Sushi,2,5.62
ITEM5511,ORD34345,Tacos,3,12.32
ITEM5512,ORD51042,Sushi,2,12.29
ITEM5513,ORD37104,Burger,5,12.69
ITEM5514,ORD23520,Salad,5,3.1
ITEM5515,ORD43786,Salad,3,3.1
ITEM5516,ORD19837,Tacos,5,6.99
ITEM5517,ORD54238,Sushi,3,9.85
ITEM5518,ORD21329,Salad,1,3.58
ITEM5519,ORD43093,Pizza,4,7.22
ITEM5520,ORD19722,Pizza,3,12.86
ITEM5521,ORD36403,Tacos,4,4.9
ITEM5522,ORD15808,Salad,3,13.92
ITEM5523,ORD24181,Burger,2,8.13
ITEM5524,ORD31774,Biryani,3,9.27
ITEM5525,ORD30534,Pasta,1,9.68
ITEM5526,ORD30378,Pizza,4,5.81
ITEM5527,ORD46753,Pasta,5,3.04
ITEM5528,ORD50492,Salad,2,3.68
ITEM5529,ORD11089,Pasta,1,10.72
ITEM5530,ORD55638,Sushi,3,6.85
ITEM5531,ORD28274,Pizza,2,5.18
ITEM5532,ORD38855,Sushi,5,9.49
ITEM5533,ORD23927,Salad,3,11.94
ITEM5534,ORD45185,Pasta,3,11.38
ITEM5535,ORD17337,Pizza,1,10.17
ITEM5536,ORD50434,Tacos,2,13.03
ITEM5537,ORD54095,Sushi,5,14.66
ITEM5538,ORD12609,Salad,4,7.23
ITEM5539,ORD59639,Tacos,4,4.42
ITEM5540,ORD27888,Pizza,3,14.51
ITEM5541,ORD33521,Biryani,2,5.19
ITEM5542,ORD27082,Tacos,4,13.69
ITEM5543,ORD37072,Pasta,5,4.1
ITEM5544,ORD59561,Pasta,2,8.66
ITEM5545,ORD10670,Biryani,2,5.08
ITEM5546,ORD28415,Pasta,5,4.4
ITEM5547,ORD10047,Biryani,3,13.36
ITEM5548,ORD27003,Pizza,2,2.81
ITEM5549,ORD23403,Pasta,3,3.43
ITEM5550,ORD21922,Burger,2,8.24
ITEM5551,ORD22640,Tacos,1,5.7
ITEM5552,ORD20547,Pizza,5,3.8
ITEM5553,ORD47636,Salad,4,13.74
ITEM5554,ORD40228,Burger,4,9.9
ITEM5555,ORD34903,Sushi,1,12.53
ITEM5556,ORD30623,Tacos,3,4.51
ITEM5557,ORD34975,Burger,1,7.63
ITEM5558,ORD23442,Biryani,2,4.94
ITEM5559,ORD38310,Biryani,5,7.19
ITEM5560,ORD12142,Pizza,1,3.27
ITEM5561,ORD55834,Burger,4,8.74
ITEM5562,ORD51099,Burger,4,14.68
ITEM5563,ORD29268,Salad,3,14.75
ITEM5564,ORD55175,Pizza,1,3.76
ITEM5565,ORD27918,Biryani,2,8.83
ITEM5566,ORD37221,Burger,1,3.5
ITEM5567,ORD45274,Pizza,4,4.28
ITEM5568,ORD41633,Sushi,1,6.06
ITEM5569,ORD15172,Sushi,4,3.58
ITEM5570,ORD48504,Pasta,5,11.61
ITEM5571,ORD20083,Pizza,1,3.66
ITEM5572,ORD15020,Burger,3,8.26
ITEM5573,ORD11075,Biryani,4,4.94
ITEM5574,ORD23422,Pasta,3,14.07
ITEM5575,ORD42023,Biryani,4,2.93
ITEM5576,ORD38388,Burger,3,11.84
ITEM5577,ORD56520,Pizza,3,2.88
ITEM5578,ORD15637,Pizza,1,7.62
ITEM5579,ORD12476,Sushi,5,3.17
ITEM5580,ORD17750,Tacos,3,4.4
ITEM5581,ORD57088,Sushi,1,5.34
ITEM5582,ORD31165,Biryani,2,8.63
ITEM5583,ORD46559,Sushi,1,8.9
ITEM5584,ORD51763,Pizza,4,14.56
ITEM5585,ORD15773,Burger,1,10.97
ITEM5586,ORD33835,Pasta,5,10.49
ITEM5587,ORD36626,Burger,4,14.94
ITEM5588,ORD37560,Salad,5,9.43
