payment_id,order_id,payment_method,amount,payment_date
PAY20033,ORD32656,Cash,19.17,2024-11-03 23:34:06
PAY20034,ORD32223,Net Banking,9.65,2024-11-10 13:44:23
PAY20035,ORD18632,Debit Card,41.59,2025-05-25 05:07:56
PAY20036,ORD27899,Credit Card,40.46,2025-02-18 07:52:42
PAY20037,ORD54513,Net Banking,13.23,2024-10-18 09:02:36
PAY20038,ORD35142,Credit Card,30.38,2024-09-17 04:25:52
PAY20039,ORD59507,Net Banking,37.41,2025-02-09 18:33:05
PAY20040,ORD27706,Cash,25.27,2025-04-29 08:06:01
PAY20041,ORD13030,Credit Card,35.89,2025-06-17 15:42:51
PAY20042,ORD27539,Debit Card,13.23,2025-02-22 23:13:20
PAY20043,ORD58961,Cash,34.79,2025-06-26 09:22:18
PAY20044,ORD48391,Debit Card,26.25,2025-02-14 22:12:39
PAY20045,ORD25699,UPI,11.02,2025-02-24 02:22:17
PAY20046,ORD29043,UPI,20.03,2024-11-10 15:54:30
PAY20047,ORD55674,UPI,22.97,2024-12-13 08:47:27
PAY20048,ORD29658,Cash,15.06,2025-02-13 09:36:57
PAY20049,ORD38437,Cash,22.87,2024-10-29 10:18:59
PAY20050,ORD30608,Credit Card,25.83,2024-09-10 07:43:04
PAY20051,ORD53900,Cash,5.49,2024-08-20 11:05:03
PAY20052,ORD46973,Credit Card,45.31,2024-11-24 18:05:29
PAY20053,ORD35512,Debit Card,19.42,2024-08-26 01:27:51
PAY20054,ORD28816,Credit Card,18.48,2025-04-04 06:46:06
PAY20055,ORD31525,Cash,12.22,2024-10-09 11:53:53
PAY20056,ORD14668,Net Banking,21.06,2024-07-19 04:50:32
PAY20057,ORD15062,Cash,38.47,2024-07-16 07:18:40
PAY20058,ORD17569,UPI,25.17,2025-06-11 20:53:49
PAY20059,ORD28976,Net Banking,8.05,2024-09-11 07:20:14
PAY20060,ORD49619,Cash,32.74,2025-01-24 11:19:07
PAY20061,ORD45558,Debit Card,20.03,2025-01-01 06:42:57
PAY20062,ORD25926,Debit Card,10.5,2024-12-31 08:18:32
PAY20063,ORD28718,Debit Card,29.81,2025-02-20 21:52:18
PAY20064,ORD30531,Net Banking,46.27,2024-07-05 20:05:22
PAY20065,ORD21870,Credit Card,9.38,2024-07-29 19:13:16
PAY20066,ORD12902,Debit Card,30.95,2025-02-22 14:29:56
PAY20067,ORD34820,UPI,49.72,2024-09-10 00:38:39
PAY20068,ORD59868,Net Banking,14.0,2024-11-27 18:23:27
PAY20069,ORD14931,Cash,19.18,2024-10-27 06:56:56
PAY20070,ORD25277,UPI,33.28,2024-11-10 03:29:00
PAY20071,ORD28332,Net Banking,42.5,2025-03-08 10:55:25
PAY20072,ORD53838,UPI,43.44,2024-11-10 02:48:37
PAY20073,ORD55943,Cash,23.23,2025-03-12 08:48:53
PAY20074,ORD16388,Cash,22.74,2024-12-20 05:40:44
PAY20075,ORD14074,Cash,12.08,2025-06-18 16:19:56
PAY20076,ORD57260,UPI,11.59,2024-11-28 08:04:05
PAY20077,ORD35992,Net Banking,20.02,2024-08-31 11:27:12
PAY20078,ORD38764,Debit Card,29.52,2024-08-18 18:14:15
PAY20079,ORD44511,Net Banking,17.73,2024-12-17 09:33:34
PAY20080,ORD47708,Debit Card,16.52,2025-02-13 23:51:12
PAY20081,ORD31975,Net Banking,11.14,2024-11-26 20:29:23
PAY20082,ORD19641,Debit Card,7.19,2025-03-09 20:05:06
PAY20083,ORD28643,UPI,26.93,2024-08-10 11:28:26
PAY20084,ORD29126,Credit Card,40.53,2024-11-03 18:57:32
PAY20085,ORD43287,UPI,25.43,2025-05-19 07:11:43
PAY20086,ORD16163,Debit Card,26.69,2025-01-23 00:34:19
PAY20087,ORD27705,Debit Card,21.57,2024-09-23 22:42:24
PAY20088,ORD58526,Credit Card,8.93,2024-10-11 03:26:38
PAY20089,ORD19401,Net Banking,28.09,2024-10-03 06:58:02
PAY20090,ORD22348,Cash,25.44,2025-02-21 12:24:35
PAY20091,ORD19688,Cash,32.58,2024-08-25 12:55:52
PAY20092,ORD45576,UPI,32.88,2025-05-07 13:37:44
PAY20093,ORD48586,Net Banking,34.94,2025-06-24 20:55:22
PAY20094,ORD18175,Credit Card,44.69,2025-02-01 12:33:07
PAY20095,ORD11157,Debit Card,11.28,2024-09-18 03:19:31
PAY20096,ORD37948,Credit Card,49.23,2025-05-12 11:18:40
PAY20097,ORD56607,Credit Card,5.82,2024-08-14 02:08:14
PAY20098,ORD21490,Debit Card,39.07,2025-01-06 18:40:33
PAY20099,ORD46259,Credit Card,9.16,2024-10-24 18:23:07
PAY20100,ORD39863,Debit Card,28.72,2025-02-15 20:58:36
PAY20101,ORD43168,Debit Card,12.34,2025-06-03 10:22:05
PAY20102,ORD13775,Net Banking,31.12,2025-06-12 16:14:00
PAY20103,ORD52465,Cash,46.19,2025-04-14 20:23:29
PAY20104,ORD53853,Cash,25.73,2025-03-22 00:24:37
PAY20105,ORD36386,Cash,41.63,2025-04-03 11:27:30
PAY20106,ORD27012,Debit Card,39.42,2025-03-29 14:33:04
PAY20107,ORD37842,Debit Card,46.57,2025-04-07 23:26:14
PAY20108,ORD38789,Cash,49.01,2024-12-06 02:53:53
PAY20109,ORD39550,Credit Card,28.43,2025-03-03 05:04:05
PAY20110,ORD49582,Cash,38.4,2025-03-15 15:45:35
PAY20111,ORD12814,Cash,9.03,2024-11-01 01:43:55
PAY20112,ORD30630,Net Banking,6.2,2024-12-10 07:16:17
PAY20113,ORD30320,Debit Card,13.15,2024-11-07 02:14:06
PAY20114,ORD22946,Net Banking,9.64,2025-04-15 18:00:04
PAY20115,ORD20499,UPI,32.76,2025-06-04 16:05:27
PAY20116,ORD28284,Debit Card,33.43,2024-07-21 21:43:22
PAY20117,ORD28608,Credit Card,34.7,2025-05-13 04:28:38
PAY20118,ORD13171,Credit Card,30.72,2024-07-08 20:23:27
PAY20119,ORD49664,Cash,15.85,2024-07-09 09:17:11
PAY20120,ORD46931,UPI,9.35,2025-02-22 07:54:26
PAY20121,ORD42484,Cash,34.25,2024-08-24 01:54:12
PAY20122,ORD19195,Debit Card,20.66,2024-07-11 23:32:08
PAY20123,ORD24592,UPI,47.92,2025-01-05 18:26:20
PAY20124,ORD44540,Net Banking,14.97,2024-10-29 11:39:02
PAY20125,ORD23405,Debit Card,17.1,2025-03-03 12:09:23
PAY20126,ORD11192,Cash,19.87,2025-06-05 14:26:14
PAY20127,ORD17193,UPI,14.26,2024-08-25 09:03:56
PAY20128,ORD44060,Cash,13.65,2025-06-23 01:10:59
PAY20129,ORD59047,UPI,24.42,2025-04-24 20:09:17
PAY20130,ORD52899,Debit Card,11.41,2024-08-13 08:09:27
PAY20131,ORD53665,Net Banking,17.45,2025-05-29 11:31:57
PAY20132,ORD24367,Cash,13.17,2024-12-28 06:59:06
PAY20133,ORD47946,Cash,12.82,2025-06-11 15:41:53
PAY20134,ORD24888,Credit Card,48.83,2024-11-09 01:02:07
PAY20135,ORD16099,UPI,8.41,2025-04-10 17:03:02
PAY20136,ORD47842,Net Banking,47.51,2025-05-14 18:49:17
PAY20137,ORD36899,Cash,28.89,2024-11-04 12:35:39
PAY20138,ORD23863,Net Banking,20.43,2025-02-14 03:32:50
PAY20139,ORD40164,Debit Card,19.73,2025-04-10 10:12:25
PAY20140,ORD51873,Credit Card,21.87,2025-05-10 19:19:58
PAY20141,ORD55051,Debit Card,34.14,2024-10-30 16:09:03
PAY20142,ORD19289,Debit Card,47.04,2024-08-06 07:56:15
PAY20143,ORD31246,UPI,12.47,2025-03-23 22:19:13
PAY20144,ORD36922,Cash,9.56,2025-01-13 05:05:49
PAY20145,ORD23654,UPI,13.37,2025-03-30 10:30:47
PAY20146,ORD15281,UPI,16.11,2025-05-03 02:46:38
PAY20147,ORD11009,UPI,11.72,2025-06-24 08:22:38
PAY20148,ORD24047,Net Banking,47.54,2025-06-13 22:49:53
PAY20149,ORD33064,Debit Card,28.68,2024-08-21 22:05:32
PAY20150,ORD27022,Net Banking,18.39,2025-02-16 16:21:35
PAY20151,ORD26086,Cash,7.31,2024-09-26 16:32:30
PAY20152,ORD24650,Debit Card,34.83,2025-05-26 20:37:38
PAY20153,ORD41224,Net Banking,19.4,2025-04-08 11:35:06
PAY20154,ORD17886,Cash,7.87,2024-12-30 06:37:30
PAY20155,ORD22005,Net Banking,7.55,2025-06-06 04:54:18
PAY20156,ORD56054,Cash,44.57,2024-10-24 12:27:43
PAY20157,ORD47100,UPI,45.69,2024-10-11 23:12:13
PAY20158,ORD23399,Credit Card,47.69,2024-08-20 14:04:57
PAY20159,ORD57161,Credit Card,25.16,2025-04-23 17:09:49
PAY20160,ORD56878,Debit Card,41.12,2025-06-16 04:49:45
PAY20161,ORD24079,UPI,14.68,2025-05-20 17:19:39
PAY20162,ORD17979,Debit Card,48.36,2024-08-22 21:32:19
PAY20163,ORD36901,Net Banking,29.43,2024-07-13 16:59:31
PAY20164,ORD54860,Cash,22.34,2024-12-08 01:14:14
PAY20165,ORD33838,Credit Card,42.28,2024-10-29 07:00:56
PAY20166,ORD59859,UPI,30.7,2025-02-10 20:42:09
PAY20167,ORD38022,Debit Card,49.56,2024-10-01 15:03:09
PAY20168,ORD10365,Net Banking,8.06,2024-09-11 12:09:39
PAY20169,ORD23274,Credit Card,9.43,2025-03-30 21:50:34
PAY20170,ORD18142,Credit Card,20.16,2025-04-08 11:51:54
PAY20171,ORD35908,Net Banking,34.64,2024-12-10 12:57:24
PAY20172,ORD16805,Cash,48.65,2024-11-01 15:06:56
PAY20173,ORD16792,UPI,23.06,2025-02-17 17:03:11
PAY20174,ORD12099,Cash,15.05,2024-12-08 07:27:23
PAY20175,ORD50728,Debit Card,26.3,2024-09-21 02:16:55
PAY20176,ORD15500,Credit Card,16.06,2024-09-03 10:13:04
PAY20177,ORD42880,Net Banking,31.25,2024-08-21 05:48:03
PAY20178,ORD22701,Cash,30.22,2024-08-07 05:09:07
PAY20179,ORD24007,Debit Card,31.2,2024-07-15 14:03:08
PAY20180,ORD40856,Debit Card,11.57,2024-09-09 10:14:18
PAY20181,ORD23606,Cash,6.17,2024-07-20 15:42:42
PAY20182,ORD23073,UPI,17.74,2025-02-06 10:44:53
PAY20183,ORD12979,Net Banking,34.56,2025-02-18 16:38:07
PAY20184,ORD31970,Net Banking,21.17,2025-02-28 12:37:06
PAY20185,ORD57904,Debit Card,5.34,2024-11-19 16:09:52
PAY20186,ORD21378,Cash,26.83,2025-03-16 21:45:58
PAY20187,ORD50964,Debit Card,34.73,2024-09-19 18:08:05
PAY20188,ORD54418,UPI,5.21,2024-10-15 20:19:26
PAY20189,ORD48564,UPI,5.86,2025-06-10 17:09:30
PAY20190,ORD40178,Cash,16.53,2025-05-10 21:47:11
PAY20191,ORD39163,Debit Card,18.23,2024-08-28 14:07:34
PAY20192,ORD50042,Cash,21.97,2025-02-06 12:17:45
PAY20193,ORD58278,Cash,17.04,2024-09-07 20:43:57
PAY20194,ORD15455,Debit Card,32.32,2024-09-29 23:19:49
PAY20195,ORD55510,Credit Card,41.38,2024-11-22 22:46:41
PAY20196,ORD47555,Net Banking,21.2,2025-05-21 21:19:54
PAY20197,ORD21130,UPI,48.89,2024-08-28 10:25:13
PAY20198,ORD13585,UPI,14.84,2024-10-19 20:36:00
PAY20199,ORD58211,UPI,49.81,2025-06-05 11:26:32
PAY20200,ORD24833,Cash,13.59,2024-07-07 03:22:20
PAY20201,ORD30630,UPI,8.0,2024-08-06 22:37:27
PAY20202,ORD44569,Debit Card,49.7,2025-06-06 22:36:18
PAY20203,ORD14818,Cash,27.15,2024-12-18 20:51:30
PAY20204,ORD44772,Cash,23.41,2025-03-06 15:22:57
PAY20205,ORD39191,Credit Card,8.01,2024-08-17 18:30:43
PAY20206,ORD55253,Net Banking,19.95,2025-02-19 22:13:42
PAY20207,ORD26061,UPI,17.03,2025-05-25 06:09:47
PAY20208,ORD26110,Credit Card,37.68,2024-10-30 04:01:50
PAY20209,ORD36485,Net Banking,34.52,2025-04-08 10:31:30
PAY20210,ORD12472,Debit Card,25.16,2025-06-09 13:45:26
PAY20211,ORD17282,Net Banking,27.96,2025-05-11 13:53:43
PAY20212,ORD53663,UPI,32.49,2025-02-17 08:04:12
PAY20213,ORD30699,Debit Card,32.01,2025-02-09 22:36:49
PAY20214,ORD33593,Credit Card,35.87,2025-05-01 10:20:33
PAY20215,ORD16672,UPI,46.29,2024-10-26 03:53:24
PAY20216,ORD30736,Net Banking,42.86,2024-07-06 14:10:28
PAY20217,ORD12312,Debit Card,17.62,2024-11-09 01:04:33
PAY20218,ORD40295,Credit Card,47.05,2025-03-30 10:26:33
PAY20219,ORD37887,Debit Card,6.56,2024-10-23 22:06:31
PAY20220,ORD11464,Credit Card,28.96,2025-03-20 14:51:05
PAY20221,ORD10945,Net Banking,21.61,2025-03-10 13:35:01
PAY20222,ORD59082,Cash,7.64,2025-05-20 23:06:19
PAY20223,ORD17473,UPI,23.02,2024-10-26 16:29:00
PAY20224,ORD37658,UPI,49.99,2024-10-13 19:48:15
PAY20225,ORD54284,Debit Card,15.66,2025-02-16 04:08:24
PAY20226,ORD37397,UPI,27.2,2025-03-25 11:52:13
PAY20227,ORD59318,Credit Card,31.74,2024-07-02 05:45:38
PAY20228,ORD54955,Cash,20.96,2024-08-08 04:40:38
PAY20229,ORD16778,UPI,31.57,2025-02-14 06:50:20
PAY20230,ORD47564,Debit Card,47.8,2024-12-24 15:14:28
PAY20231,ORD20971,Credit Card,45.1,2025-04-03 17:58:23
PAY20232,ORD44292,UPI,41.87,2024-12-09 17:22:10
PAY20233,ORD12277,Net Banking,15.39,2025-03-16 23:55:36
PAY20234,ORD55250,Credit Card,11.78,2025-05-08 18:01:15
PAY20235,ORD30200,Cash,30.03,2024-07-16 21:01:10
PAY20236,ORD32130,UPI,19.57,2025-05-11 04:36:57
PAY20237,ORD36800,Credit Card,45.93,2025-04-11 08:24:59
PAY20238,ORD28610,Credit Card,32.78,2024-10-29 12:00:27
PAY20239,ORD59384,Debit Card,43.86,2025-02-06 00:48:56
PAY20240,ORD54089,Cash,42.18,2024-09-21 02:31:22
PAY20241,ORD52229,UPI,21.09,2024-11-22 13:56:24
PAY20242,ORD45919,Credit Card,29.26,2025-03-23 16:13:08
PAY20243,ORD14685,Debit Card,16.06,2025-03-09 16:31:36
PAY20244,ORD29787,UPI,21.9,2025-04-20 15:00:52
PAY20245,ORD18549,Debit Card,36.22,2025-05-04 06:04:54
PAY20246,ORD23111,Credit Card,34.42,2025-06-04 22:16:20
PAY20247,ORD46086,Cash,21.96,2024-08-06 07:26:40
PAY20248,ORD54263,UPI,37.56,2025-02-21 18:04:42
PAY20249,ORD19348,Debit Card,35.42,2025-03-17 14:20:25
PAY20250,ORD27922,Cash,16.52,2025-02-23 21:28:04
PAY20251,ORD39631,Net Banking,17.63,2025-06-06 04:46:39
PAY20252,ORD44716,Net Banking,18.45,2025-02-16 07:15:06
PAY20253,ORD17713,Cash,45.46,2024-10-28 16:48:03
PAY20254,ORD52934,Credit Card,45.0,2024-09-21 20:13:00
PAY20255,ORD15807,Debit Card,35.45,2024-08-12 05:08:27
PAY20256,ORD46749,Cash,20.23,2024-08-17 21:37:22
PAY20257,ORD34429,Cash,36.17,2025-04-03 18:06:17
PAY20258,ORD37215,Cash,5.86,2024-08-25 07:00:18
PAY20259,ORD22312,Debit Card,48.33,2024-11-06 09:33:03
PAY20260,ORD16571,Credit Card,17.23,2025-04-13 22:11:58
PAY20261,ORD36342,Credit Card,12.41,2024-07-05 03:22:45
PAY20262,ORD37777,Net Banking,36.19,2025-06-12 15:41:07
PAY20263,ORD24121,Net Banking,31.05,2024-09-02 04:11:24
PAY20264,ORD16490,UPI,7.27,2025-06-03 23:10:34
PAY20265,ORD23784,UPI,42.85,2024-07-04 02:32:49
PAY20266,ORD18159,Net Banking,8.79,2025-01-23 08:24:03
PAY20267,ORD31648,Net Banking,45.66,2025-06-06 22:31:21
PAY20268,ORD23262,UPI,7.01,2024-10-23 08:35:05
PAY20269,ORD16066,Credit Card,32.98,2024-10-13 04:05:45
PAY20270,ORD39014,Debit Card,49.52,2024-10-27 18:09:51
PAY20271,ORD19838,Debit Card,39.29,2024-09-04 11:59:06
PAY20272,ORD18395,UPI,25.69,2024-07-29 10:51:59
PAY20273,ORD47826,Cash,31.16,2025-06-06 10:26:46
PAY20274,ORD11208,Debit Card,45.96,2025-06-08 01:32:33
PAY20275,ORD38347,UPI,27.08,2024-12-12 09:35:00
PAY20276,ORD32238,Credit Card,25.62,2025-05-18 18:30:54
PAY20277,ORD50930,Cash,34.49,2025-02-01 20:59:50
PAY20278,ORD25369,Cash,29.59,2025-02-02 06:53:33
PAY20279,ORD31934,Net Banking,27.01,2025-03-08 10:31:52
PAY20280,ORD47922,Debit Card,30.71,2024-08-22 06:19:58
PAY20281,ORD55970,Cash,8.94,2025-03-27 04:26:35
PAY20282,ORD59194,Net Banking,5.4,2024-12-22 16:05:42
PAY20283,ORD49481,Net Banking,32.24,2025-03-01 18:17:36
PAY20284,ORD29334,UPI,12.04,2024-12-01 01:07:11
PAY20285,ORD54107,UPI,18.01,2024-10-08 20:13:51
PAY20286,ORD51937,Debit Card,6.42,2025-03-08 07:38:36
PAY20287,ORD30961,Cash,32.07,2024-09-12 20:08:06
PAY20288,ORD40593,Net Banking,44.16,2025-04-22 09:04:07
PAY20289,ORD59282,Debit Card,18.8,2024-08-12 03:24:11
PAY20290,ORD49407,Net Banking,31.2,2024-12-27 13:16:31
PAY20291,ORD12181,Debit Card,34.93,2024-07-01 07:07:36
PAY20292,ORD43664,Cash,25.08,2024-08-13 08:29:09
PAY20293,ORD49147,Net Banking,8.5,2025-01-18 21:15:33
PAY20294,ORD20726,Credit Card,39.57,2024-11-06 18:55:42
PAY20295,ORD11325,UPI,48.13,2025-06-18 23:31:07
PAY20296,ORD44158,Net Banking,48.9,2024-12-27 06:27:35
PAY20297,ORD53728,Cash,48.49,2024-09-30 10:31:48
PAY20298,ORD11529,UPI,31.02,2025-01-19 23:52:49
PAY20299,ORD27714,Net Banking,26.02,2025-05-05 19:23:08
PAY20300,ORD18577,Credit Card,7.35,2024-07-17 15:17:30
PAY20301,ORD18058,Net Banking,16.99,2024-08-06 11:36:10
PAY20302,ORD16054,Debit Card,49.64,2025-04-22 13:55:47
PAY20303,ORD20366,Cash,43.85,2024-11-14 08:07:20
PAY20304,ORD52641,Net Banking,8.28,2025-05-29 05:50:55
PAY20305,ORD42630,Credit Card,14.54,2024-07-12 15:01:31
PAY20306,ORD51710,Net Banking,24.87,2025-04-22 13:16:09
PAY20307,ORD31386,Cash,45.78,2025-01-13 20:58:59
PAY20308,ORD26018,UPI,22.21,2024-10-15 19:15:51
PAY20309,ORD15565,Net Banking,11.19,2024-07-29 20:17:10
PAY20310,ORD31717,Net Banking,32.17,2024-09-09 15:03:53
PAY20311,ORD39268,UPI,43.63,2025-06-14 08:22:03
PAY20312,ORD40938,Net Banking,31.75,2024-06-28 23:36:16
PAY20313,ORD14605,Cash,31.56,2024-10-05 04:27:36
PAY20314,ORD14084,Cash,48.69,2024-07-09 02:16:17
PAY20315,ORD40046,Debit Card,41.5,2024-07-09 07:21:52
PAY20316,ORD40984,Net Banking,49.02,2024-07-11 04:25:30
PAY20317,ORD27224,Debit Card,38.93,2024-07-18 17:17:49
PAY20318,ORD28454,Cash,14.12,2025-05-21 01:15:07
PAY20319,ORD18183,Net Banking,39.58,2025-03-14 18:36:20
PAY20320,ORD51409,Credit Card,43.73,2025-04-15 18:06:49
PAY20321,ORD14746,Net Banking,16.92,2024-08-24 11:22:22
PAY20322,ORD47045,UPI,9.7,2025-01-17 00:39:09
PAY20323,ORD43703,Cash,47.9,2025-04-30 02:48:23
PAY20324,ORD59726,Credit Card,36.95,2024-07-22 09:24:04
PAY20325,ORD41347,Net Banking,44.52,2024-08-27 08:49:25
PAY20326,ORD40384,Net Banking,22.88,2024-07-29 23:19:26
PAY20327,ORD42378,UPI,39.49,2024-10-31 03:22:21
PAY20328,ORD33682,Net Banking,5.09,2024-08-11 04:48:20
PAY20329,ORD37991,Cash,5.91,2025-02-08 19:17:29
PAY20330,ORD20177,Credit Card,36.48,2025-03-21 13:03:21
PAY20331,ORD57955,Net Banking,31.77,2024-12-07 15:25:15
PAY20332,ORD12959,UPI,38.45,2024-09-05 01:17:55
PAY20333,ORD50229,Net Banking,46.49,2024-07-21 01:34:26
PAY20334,ORD52967,Debit Card,7.28,2024-11-09 19:12:21
PAY20335,ORD17992,Net Banking,8.16,2024-10-08 01:01:41
PAY20336,ORD58593,Net Banking,28.49,2025-01-06 15:29:17
PAY20337,ORD24831,Credit Card,36.75,2025-03-27 15:21:21
PAY20338,ORD37734,Net Banking,41.6,2024-08-20 02:58:39
PAY20339,ORD28116,Credit Card,43.3,2025-01-19 23:42:03
PAY20340,ORD16733,Net Banking,17.06,2024-10-03 07:18:16
PAY20341,ORD45459,UPI,33.27,2024-07-05 22:41:19
PAY20342,ORD21702,Credit Card,48.64,2024-09-13 17:16:32
PAY20343,ORD57613,Credit Card,8.26,2025-04-11 00:10:24
PAY20344,ORD36974,UPI,31.74,2024-12-31 19:18:25
PAY20345,ORD24385,Net Banking,26.18,2025-02-21 19:31:35
PAY20346,ORD51045,UPI,29.44,2025-02-02 09:38:00
PAY20347,ORD30320,Credit Card,29.43,2024-07-12 13:57:35
PAY20348,ORD11343,Debit Card,41.31,2025-05-23 10:02:04
PAY20349,ORD15824,UPI,12.75,2024-07-04 21:29:19
PAY20350,ORD17848,Cash,33.0,2025-04-28 19:22:07
PAY20351,ORD22443,Debit Card,5.54,2024-12-26 16:39:15
PAY20352,ORD37731,Credit Card,14.18,2024-07-13 09:02:23
PAY20353,ORD49146,UPI,37.65,2024-11-03 11:33:53
PAY20354,ORD30027,Cash,33.49,2024-12-02 01:16:22
PAY20355,ORD44728,UPI,46.49,2025-04-12 17:51:26
PAY20356,ORD13268,Net Banking,31.69,2025-05-19 21:51:33
PAY20357,ORD29110,Credit Card,8.85,2024-12-04 21:20:15
PAY20358,ORD26019,UPI,40.93,2024-09-12 03:11:22
PAY20359,ORD12854,Debit Card,49.38,2025-02-26 18:36:41
PAY20360,ORD13067,Debit Card,9.92,2024-08-19 05:07:19
PAY20361,ORD16731,Debit Card,20.69,2024-07-07 07:45:05
PAY20362,ORD14373,Cash,39.78,2025-01-08 11:40:55
PAY20363,ORD21959,Cash,45.0,2024-08-12 18:39:58
PAY20364,ORD10000,Net Banking,32.21,2025-06-06 23:18:32
PAY20365,ORD47257,Net Banking,8.39,2024-07-26 08:36:19
PAY20366,ORD52110,Net Banking,10.42,2025-06-17 05:46:04
PAY20367,ORD11467,Net Banking,49.25,2025-01-17 22:54:54
PAY20368,ORD23430,Cash,11.51,2025-05-31 09:19:20
PAY20369,ORD13180,Net Banking,8.3,2024-07-09 04:48:57
PAY20370,ORD56150,UPI,8.15,2024-08-13 00:52:18
PAY20371,ORD32157,Net Banking,21.04,2024-07-31 14:12:42
PAY20372,ORD24643,Debit Card,18.86,2024-12-14 01:04:41
PAY20373,ORD19144,UPI,25.79,2025-04-22 10:06:50
PAY20374,ORD15981,Debit Card,19.84,2024-07-01 18:45:31
PAY20375,ORD12680,Credit Card,9.72,2024-12-14 17:53:09
PAY20376,ORD36800,Debit Card,13.18,2024-07-31 04:07:40
PAY20377,ORD25931,Net Banking,31.88,2025-06-09 23:28:11
PAY20378,ORD33657,Net Banking,48.17,2025-06-14 19:29:20
PAY20379,ORD19222,Credit Card,11.24,2025-01-15 12:40:08
PAY20380,ORD14130,UPI,7.13,2025-06-11 11:01:19
PAY20381,ORD52614,UPI,16.98,2025-05-11 01:47:27
PAY20382,ORD17075,Cash,26.14,2025-03-12 16:27:48
PAY20383,ORD13464,Credit Card,6.81,2024-08-06 05:42:06
PAY20384,ORD56543,UPI,13.15,2025-03-01 10:01:53
PAY20385,ORD54078,UPI,22.05,2024-11-20 22:54:44
PAY20386,ORD17988,UPI,29.41,2025-06-08 17:23:07
PAY20387,ORD37268,Debit Card,8.63,2024-07-20 22:42:28
PAY20388,ORD28155,Cash,34.4,2025-04-09 01:02:03
PAY20389,ORD50223,Net Banking,13.75,2024-08-17 10:11:07
PAY20390,ORD38435,Debit Card,5.69,2025-05-02 06:31:06
PAY20391,ORD16716,UPI,11.19,2024-08-14 15:12:29
PAY20392,ORD11064,Net Banking,23.51,2024-07-25 22:19:56
PAY20393,ORD23052,Debit Card,7.99,2025-06-25 03:43:10
PAY20394,ORD13154,Credit Card,16.88,2024-10-30 11:51:42
PAY20395,ORD56275,UPI,20.02,2025-05-10 20:53:02
PAY20396,ORD50228,Credit Card,27.21,2025-06-20 02:59:25
PAY20397,ORD18791,Cash,5.35,2025-06-28 12:27:30
PAY20398,ORD21887,Credit Card,38.5,2024-12-18 18:47:28
PAY20399,ORD53301,UPI,33.48,2025-04-16 04:33:57
PAY20400,ORD32835,UPI,24.67,2025-01-07 22:37:39
PAY20401,ORD19797,Debit Card,49.94,2025-05-01 04:18:45
PAY20402,ORD30358,Net Banking,44.54,2025-05-14 15:07:22
PAY20403,ORD52581,Cash,40.07,2025-01-26 15:00:45
PAY20404,ORD45544,Net Banking,43.43,2024-12-19 00:39:25
PAY20405,ORD47488,Debit Card,8.91,2024-11-03 14:44:13
PAY20406,ORD26993,Net Banking,24.0,2024-08-24 03:16:33
PAY20407,ORD16496,Cash,31.44,2025-06-08 06:39:39
